,step,energy,x0,x1,x2,x3,x4,x5,p0,p1,p2,p3,p4,p5,p6,p7,p8
50,50,-1.0837821249464399,0.0,0.0,-0.7056868438870021,0.0,0.0,0.7056868438870962,2.21789974277073,1.99,0.05,1.85,3.06,0.82,0.7942918771477773,0.71,1.86
51,51,-1.0942700008075676,0.0,0.0,-0.6850514602129311,0.0,0.0,0.6850514602129176,1.998217124455373,1.99,0.05,1.85,3.06,0.82,0.8007046303932068,0.71,1.86
52,52,-1.0900885245603025,0.0,0.0,-0.7010454912868583,0.0,0.0,0.7010454912868932,2.2062718288763232,1.99,0.05,1.85,3.06,0.82,0.8109078415419047,0.71,1.86
53,53,-1.0988038574492973,0.0,0.0,-0.6821909588406818,0.0,0.0,0.6821909588407787,2.0065811708256365,1.99,0.05,1.85,3.06,0.82,0.8160511807141784,0.71,1.86
54,54,-1.0960449876998295,0.0,0.0,-0.6965537724859059,0.0,0.0,0.6965537724859451,2.1939805657933715,1.99,0.05,1.85,3.06,0.82,0.8253522866241744,0.71,1.86
55,55,-1.102925095580152,0.0,0.0,-0.6797259071143129,0.0,0.0,0.6797259071144701,2.0151900322174114,1.99,0.05,1.85,3.06,0.82,0.8293425284892869,0.71,1.86
56,56,-1.1012500670255194,0.0,0.0,-0.6925234957340569,0.0,0.0,0.692523495734279,2.1818396503717663,1.99,0.05,1.85,3.06,0.82,0.8377068613329349,0.71,1.86
57,57,-1.106482622094239,0.0,0.0,-0.6777510598912524,0.0,0.0,0.677751059891633,2.023668980493233,1.99,0.05,1.85,3.06,0.82,0.8407486539199485,0.71,1.86
58,58,-1.1055790576938904,0.0,0.0,-0.6890639935830425,0.0,0.0,0.6890639935834146,2.170324405557961,1.99,0.05,1.85,3.06,0.82,0.8482047992704407,0.71,1.86
59,59,-1.109448842100149,0.0,0.0,-0.6762524101757972,0.0,0.0,0.6762524101760607,2.0317915994709974,1.99,0.05,1.85,3.06,0.82,0.850524026953031,0.71,1.86
60,60,-1.1090582805676266,0.0,0.0,-0.6861758521299289,0.0,0.0,0.686175852130115,2.159686108365739,1.99,0.05,1.85,3.06,0.82,0.8571385270986747,0.71,1.86
61,61,-1.1118593303892603,0.0,0.0,-0.675169189473669,0.0,0.0,0.6751691894738493,2.0394241211898567,1.99,0.05,1.85,3.06,0.82,0.8589450454369538,0.71,1.86
62,62,-1.1117844624571473,0.0,0.0,-0.6838085365627898,0.0,0.0,0.6838085365630412,2.15003364377478,1.99,0.05,1.85,3.06,0.82,0.8648040556887389,0.71,1.86
63,63,-1.1137778812960404,0.0,0.0,-0.674427047619109,0.0,0.0,0.6744270476193652,2.0464909507983626,1.99,0.05,1.85,3.06,0.82,0.8662750663259094,0.71,1.86
64,64,-1.1138779639655958,0.0,0.0,-0.6818926438935548,0.0,0.0,0.6818926438937105,2.1413897271384745,1.99,0.05,1.85,3.06,0.82,0.8714719020968581,0.71,1.86
65,65,-1.1152773160331053,0.0,0.0,-0.6739536749693519,0.0,0.0,0.673953674969534,2.0529534423419245,1.99,0.05,1.85,3.06,0.82,0.8727477077895534,0.71,1.86
66,66,-1.115458300875532,0.0,0.0,-0.6803564993531986,0.0,0.0,0.6803564993533469,2.13372780104614,1.99,0.05,1.85,3.06,0.82,0.877374917060856,0.71,1.86
67,67,-1.1164295065866765,0.0,0.0,-0.6736850619824517,0.0,0.0,0.6736850619826977,2.058797060939846,1.99,0.05,1.85,3.06,0.82,0.8785610908505247,0.71,1.86
68,68,-1.1166329814482325,0.0,0.0,-0.6791338088403057,0.0,0.0,0.6791338088406796,2.126994913320561,1.99,0.05,1.85,3.06,0.82,0.8827057552386509,0.71,1.86
69,69,-1.117300543777076,0.0,0.0,-0.6735672545256881,0.0,0.0,0.6735672545260998,2.064023803413689,1.99,0.05,1.85,3.06,0.82,0.8838780227156298,0.71,1.86
70,70,-1.1174936058619762,0.0,0.0,-0.6781665494363841,0.0,0.0,0.6781665494368766,2.1211251198346837,1.99,0.05,1.85,3.06,0.82,0.8876192466670785,0.71,1.86
71,71,-1.117948667119188,0.0,0.0,-0.6735561674171557,0.0,0.0,0.6735561674176238,2.068647777195022,1.99,0.05,1.85,3.06,0.82,0.8888290642849207,0.71,1.86
72,72,-1.1181155786082446,0.0,0.0,-0.6774055084265677,0.0,0.0,0.677405508427042,2.1160469430670714,1.99,0.05,1.85,3.06,0.82,0.8922368971455141,0.71,1.86
73,73,-1.118423643307262,0.0,0.0,-0.6736166769008465,0.0,0.0,0.6736166769013828,2.0726925301076995,1.99,0.05,1.85,3.06,0.82,0.8935167614024233,0.71,1.86
74,74,-1.118559430832715,0.0,0.0,-0.6768097652005189,0.0,0.0,0.6768097652010742,2.111687369620253,1.99,0.05,1.85,3.06,0.82,0.896652032660629,0.71,1.86
75,75,-1.1187669075438915,0.0,0.0,-0.6737215112635663,0.0,0.0,0.6737215112641769,2.076189224643815,1.99,0.05,1.85,3.06,0.82,0.8980201328339141,0.71,1.86
76,76,-1.1188727389725586,0.0,0.0,-0.6763457653797796,0.0,0.0,0.6763457653802405,2.1079739888497957,1.99,0.05,1.85,3.06,0.82,0.9009348494753247,0.71,1.86
77,77,-1.1190121209938724,0.0,0.0,-0.6738501297918309,0.0,0.0,0.6738501297922629,2.07917511894659,1.99,0.05,1.85,3.06,0.82,0.9023989612249871,0.71,1.86
78,78,-1.1190921627988624,0.0,0.0,-0.6759862913236229,0.0,0.0,0.6759862913241199,2.104836224574401,1.99,0.05,1.85,3.06,0.82,0.9051370289573265,0.71,1.86
79,79,-1.119185963754769,0.0,0.0,-0.6739876469535286,0.0,0.0,0.673987646954048,2.0816920835336843,1.99,0.05,1.85,3.06,0.82,0.9066976716878545,0.71,1.86
80,80,-1.1192453921928174,0.0,0.0,-0.6757094618971827,0.0,0.0,0.6757094618977108,2.1022061724989776,1.99,0.05,1.85,3.06,0.82,0.9092957766001326,0.71,1.86
81,81,-1.1193090551558178,0.0,0.0,-0.6741238176369062,0.0,0.0,0.6741238176374746,2.0837850661571022,1.99,0.05,1.85,3.06,0.82,0.910948705776444,0.71,1.86
82,82,-1.1193529136856921,0.0,0.0,-0.6754978158171898,0.0,0.0,0.6754978158177382,2.1000192804149633,1.99,0.05,1.85,3.06,0.82,0.9134372446458817,0.71,1.86
83,83,-1.119396922200266,0.0,0.0,-0.6742520945379309,0.0,0.0,0.6742520945383103,2.0855005303327805,1.99,0.05,1.85,3.06,0.82,0.9151753648961329,0.71,1.86
84,84,-1.119429560558268,0.0,0.0,-0.6753374993411518,0.0,0.0,0.6753374993414193,2.0982149498684137,1.99,0.05,1.85,3.06,0.82,0.9175793503001728,0.71,1.86
85,85,-1.1194609512047833,0.0,0.0,-0.6743687727365596,0.0,0.0,0.6743687727367275,2.0868849487397148,1.99,0.05,1.85,3.06,0.82,0.9193941366218231,0.71,1.86
86,86,-1.1194858343578649,0.0,0.0,-0.6752175648249693,0.0,0.0,0.6752175648252439,2.0967370587057146,1.99,0.05,1.85,3.06,0.82,0.9217340320624487,0.71,1.86
87,87,-1.1195092706184766,0.0,0.0,-0.6744722377605681,0.0,0.0,0.6744722377608741,2.0879834450763584,1.99,0.05,1.85,3.06,0.82,0.9236165430849214,0.71,1.86
88,88,-1.119528999581813,0.0,0.0,-0.6751293794765247,0.0,0.0,0.6751293794768225,2.0955343745757973,1.99,0.05,1.85,3.06,0.82,0.9259090054537069,0.71,1.86
89,89,-1.119547528468183,0.0,0.0,-0.6745623295152996,0.0,0.0,0.6745623295155416,2.0888386621210646,1.99,0.05,1.85,3.06,0.82,0.9278505672078335,0.71,1.86
90,90,-1.1195639637158936,0.0,0.0,-0.6750661386415808,0.0,0.0,0.6750661386418546,2.094560828664002,1.99,0.05,1.85,3.06,0.82,0.9301090898772151,0.71,1.86
91,91,-1.1195795447578,0.0,0.0,-0.6746398268833582,0.0,0.0,0.6746398268835762,2.0894899036906645,1.99,0.05,1.85,3.06,0.82,0.9321017215310583,0.71,1.86
92,92,-1.1195939631089735,0.0,0.0,-0.6750224739824299,0.0,0.0,0.6750224739827476,2.093775631690042,1.99,0.05,1.85,3.06,0.82,0.934337181763241,0.71,1.86
93,93,-1.1196078347785121,0.0,0.0,-0.6747060493144751,0.0,0.0,0.6747060493147523,2.089972565089865,1.99,0.05,1.85,3.06,0.82,0.9363738265331232,0.71,1.86
94,94,-1.1196210808736875,0.0,0.0,-0.6749941440931457,0.0,0.0,0.6749941440934789,2.093143230860422,1.99,0.05,1.85,3.06,0.82,0.938594946638653,0.71,1.86
95,95,-1.1196340114528334,0.0,0.0,-0.6747625645177775,0.0,0.0,0.6747625645182133,2.090317837875177,1.99,0.05,1.85,3.06,0.82,0.9406695619339461,0.71,1.86
96,96,-1.1196466257000006,0.0,0.0,-0.6749777937399974,0.0,0.0,0.674977793740371,2.092633121491326,1.99,0.05,1.85,3.06,0.82,0.9428832958371258,0.71,1.86
97,97,-1.1196590825560802,0.0,0.0,-0.6748109866599706,0.0,0.0,0.6748109866604173,2.09055265402248,1.99,0.05,1.85,3.06,0.82,0.9449908471902978,0.71,1.86
98,98,-1.119671400288303,0.0,0.0,-0.6749707680124247,0.0,0.0,0.6749707680128441,2.092219537852258,1.99,0.05,1.85,3.06,0.82,0.9472027039822083,0.71,1.86
99,99,-1.1196836621260073,0.0,0.0,-0.6748528474644608,0.0,0.0,0.6748528474647735,2.090699822707312,1.99,0.05,1.85,3.06,0.82,0.9493390980481858,0.71,1.86
100,100,-1.1196958856858021,0.0,0.0,-0.6749709689384547,0.0,0.0,0.6749709689387208,2.0918810537925654,1.99,0.05,1.85,3.06,0.82,0.9515534127992976,0.71,1.86
101,101,-1.1197081155130761,0.0,0.0,-0.6748895228549164,0.0,0.0,0.6748895228551002,2.0907783088751652,1.99,0.05,1.85,3.06,0.82,0.9537153961946295,0.71,1.86
102,102,-1.119720364007536,0.0,0.0,-0.6749767440984209,0.0,0.0,0.674976744098585,2.0916001253616483,1.99,0.05,1.85,3.06,0.82,0.9559355565560745,0.71,1.86
103,103,-1.1197326555251412,0.0,0.0,-0.6749221995739405,0.0,0.0,0.6749221995740861,2.090803604715813,1.99,0.05,1.85,3.06,0.82,0.9581205999005723,0.71,1.86
104,104,-1.1197449976746228,0.0,0.0,-0.674986798983426,0.0,0.0,0.6749867989836493,2.0913626058844312,1.99,0.05,1.85,3.06,0.82,0.9603492353447086,0.71,1.86
105,105,-1.119757404072202,0.0,0.0,-0.6749518687916323,0.0,0.0,0.6749518687919044,2.0907881509953588,1.99,0.05,1.85,3.06,0.82,0.9625554157371581,0.71,1.86
106,106,-1.1197698790532407,0.0,0.0,-0.6750001269586152,0.0,0.0,0.6750001269589431,2.091157259905794,1.99,0.05,1.85,3.06,0.82,0.9647945549151149,0.71,1.86
107,107,-1.119782430438337,0.0,0.0,-0.6749793365366681,0.0,0.0,0.6749793365371181,2.090741773104872,1.99,0.05,1.85,3.06,0.82,0.9670204452348464,0.71,1.86
108,108,-1.1197950606353184,0.0,0.0,-0.6750159524642091,0.0,0.0,0.6750159524646975,2.0909752970958393,1.99,0.05,1.85,3.06,0.82,0.9692716459198156,0.71,1.86
109,109,-1.1198077743089756,0.0,0.0,-0.6750052434211938,0.0,0.0,0.6750052434216404,2.090672105214099,1.99,0.05,1.85,3.06,0.82,0.9715162156997164,0.71,1.86
110,110,-1.1198205728531998,0.0,0.0,-0.6750336844518959,0.0,0.0,0.6750336844522884,2.090809941463405,1.99,0.05,1.85,3.06,0.82,0.973780671093294,0.71,1.86
111,111,-1.119833459206901,0.0,0.0,-0.6750300883947353,0.0,0.0,0.6750300883951476,2.0905849840705097,1.99,0.05,1.85,3.06,0.82,0.9760432010945524,0.71,1.86
