,step,energy,d0,d1,d2,p3,p4,p5,p6,p7,p8,p9,p10,p11
0,0,-1.8371395722512347,0.99,0.54,0.96,0.36,2.58,2.94,0.51,2.36,0.79,0.16,1.32,0.3
1,1,-1.8740295101166404,0.9103390077238797,0.4885006478318858,0.881661128790969,0.359920228197198,2.579373770341409,2.9396507543249113,0.5098234685748799,2.359811270620302,0.7901967627100751,0.16,1.3194168506293638,0.3
2,2,-1.907147655355235,0.8342051859318816,0.44103331167552406,0.8069832404461564,0.35982831150286,2.578646916756808,2.939251217319253,0.5096181609611687,2.3596052065031308,0.7904160197145077,0.16,1.3187373093707917,0.3
3,3,-1.9365365200392426,0.7619430559270517,0.3974131758347248,0.7362736422577434,0.3597234771820774,2.5778129021499745,2.9387992556832887,0.5093819143224035,2.3593829971649645,0.7906577209898108,0.16,1.3179548450042806,0.3
4,4,-1.9623321909795068,0.6938018865959693,0.3574278042680921,0.6697433573374203,0.35960510931582884,2.5768668657739235,2.938293658158126,0.5091129316487838,2.359146248595648,0.7909214006224753,0.16,1.3170646090235245,0.3
5,5,-1.9847461056543914,0.6299341209645006,0.32084862030147193,0.6075082196362926,0.35947276386295557,2.5758058277047984,2.93773418266802,0.5088098354040682,2.358896913323301,0.7912062040812555,0.16,1.3160636602905498,0.3
6,6,-2.004043748616059,0.5704002348834232,0.2874402319246053,0.549595844675355,0.3593261730048903,2.574628765473569,2.9371215429165414,0.5084716926917261,2.3586372117445773,0.7915109304847198,0.16,1.314951056370359,0.3
7,7,-2.0205231534230674,0.5151785380292192,0.2569676260493155,0.495956813255832,0.3591652397634711,2.573336567364436,2.936457341773164,0.5080980130086602,2.3583695528680506,0.7918340844193114,0.16,1.3137278144151812,0.3
8,8,-2.0344955139581153,0.46417809328517734,0.2292014387078896,0.4464782340240627,0.35899002484567644,2.5719318818275667,2.9357439639808613,0.5076887228815932,2.358096460186943,0.7921739324887455,0.16,1.312396760937127,0.3
9,9,-2.046269335589157,0.41725297687459106,0.2039215984329263,0.40099801766095505,0.35880072812361735,2.5704188913593558,2.9349844429343404,0.5072441235305507,2.3578205059012847,0.792528560759672,0.16,1.3109622999263428,0.3
10,10,-2.056138683767609,0.3742164112343675,0.18091966296436907,0.35931856705386633,0.35859766715240643,2.56880304175497,2.934182315854711,0.5067648381616114,2.357544254744256,0.7928959302668521,0.16,1.3094301320143513,0.3
11,11,-2.064375404805157,0.33485373316271727,0.16000015046408134,0.32121902776866723,0.3583812548008583,2.567090755122428,2.9333414794515864,0.5062517548803545,2.3572702174174385,0.7932739285914282,0.16,1.3078069550406812,0.3
12,12,-2.0712247690917245,0.2989335924023552,0.14098112605762458,0.28646565041654826,0.35815197758009476,2.5652891494644203,2.932466055056505,0.5057059699919954,2.357000813005334,0.7936604162004003,0.16,1.3061001705903839,0.3
13,13,-2.0769037999648896,0.26621713697090993,0.12369425696501857,0.25482013667309017,0.3579103757363042,2.5634057809147506,2.9315602690054123,0.5051287350305281,2.35673833950907,0.7940532667662742,0.16,1.304317613937561,0.3
