,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-1.3924444415654729,-1.4579864164738963,-1.5179719850653473,-1.5723600835167464,-1.6212506165590477,-1.6648625677049196,-1.7035067126734522,-1.737556809117709,-1.7674224434142385,-1.7935256733881333,-1.8162825366037996,-1.8360896103592013,-1.8533152026663067,-1.8682944202937635,-1.8813272451381482,-1.8926787820984923,-1.9025809547452053,-1.9112350700403014,-1.91881481838046,-1.9254694031000388,-1.931326597385239,-1.9364956057350762,-1.941069664372527,-1.945128354371622,-1.94873962686499,-1.9519615552145047,-1.9548438374803465,-1.957429076228904,-1.9597538633869092,-1.961849696689482,-1.9637437521119225
1,-1.451668891080984,-1.5442463657511922,-1.6243155015646942,-1.6918950433943183,-1.7477895672194204,-1.793286014443506,-1.82987752377197,-1.8590603441270426,-1.8822103163832062,-1.9005239590515908,-1.9150032043279896,-1.926465327470375,-1.9355648779787744,-1.9428194233703246,-1.9486346247909898,-1.953326553760056,-1.9571405471915067,-1.9602666258593504,-1.9628518342484451,-1.9650099735759439,-1.9668292021595453,-1.9683779295728354,-1.9697093660791731,-1.9708650230923084,-1.9718774011734186,-1.9727720518388656,-1.9735691583656756,-1.9742847479390695,-1.974931621636682,-1.9755200686098342,-1.9760584152555822
2,-1.478036503819686,-1.6226079619730733,-1.7284599067828768,-1.80283354533717,-1.8538434482996715,-1.8884939447660563,-1.9120759494888455,-1.9282997237715107,-1.9396606907332958,-1.947799868279058,-1.9537851303912532,-1.9583096505662296,-1.961824894038678,-1.9646272870407842,-1.9669138398712365,-1.9688175688766762,-1.970429991193548,-1.9718154229892133,-1.9730201041163924,-1.9740780610237247,-1.9750149101320922,-1.9758503556533695,-1.9765998545897987,-1.9772757458520795,-1.9778880307156215,-1.9784449233408792,-1.9789532472460727,-1.9794187267313397,-1.9798462052853227,-1.9802398122194098,-1.9806030918555875
3,-1.365165510976504,-1.6020734447838154,-1.7473242530711588,-1.8328241159028047,-1.8833814793236665,-1.9141186386973792,-1.9335379990681465,-1.9463249661946147,-1.9550809491560632,-1.961286172500316,-1.9658133619314928,-1.9691982907416508,-1.971783176506162,-1.9737944062464818,-1.9753861516254527,-1.9766658820307221,-1.9777099360443793,-1.9785733983030935,-1.9792965678737764,-1.9799093020716123,-1.9804339902244483,-1.9808876200821566,-1.981283231081141,-1.981630946948859,-1.9819387163008029,-1.9822128485807422,-1.9824584053554584,-1.9826794885700432,-1.9828794548329065,-1.9830610761809462,-1.9832266618081653
4,-1.6404894864815547,-1.7770991326402243,-1.8541081423085706,-1.8993308472663657,-1.9270563880908267,-1.9446811790213554,-1.9562398782564676,-1.9640396913716536,-1.969447325299554,-1.9732944319470795,-1.9760987673543071,-1.978189670054685,-1.9797811510220948,-1.981015303511666,-1.9819885192188542,-1.98276757804315,-1.9833996875580149,-1.9839188567613257,-1.9843500166359391,-1.9847117344800758,-1.9850180362488372,-1.9852796533117978,-1.9855048911022353,-1.9857002448107384,-1.9858708427461642,-1.986020770197509,-1.986153309035643,-1.9862711169762082,-1.986376363025463,-1.9864708307096948,-1.9865559973578135
5,-1.6265786972919252,-1.8292446861056728,-1.897088421723553,-1.9279479880725552,-1.9448519535404025,-1.9549821023651506,-1.9615095779784586,-1.9660041784048103,-1.969283093168489,-1.9717911688441188,-1.9737820638271564,-1.9754075489840313,-1.9767629849084394,-1.9779112397331262,-1.9788956801785007,-1.9797474664111678,-1.9804897944366788,-1.9811404554973078,-1.9817134388574493,-1.982219972840339,-1.9826692245806783,-1.9830687852479445,-1.983425015940686,-1.983743300330097,-1.9840282331940309,-1.9842837638232158,-1.984513306997856,-1.984719830226867,-1.9849059233218735,-1.985073854620263,-1.9852256169708373
6,-0.9911344033571156,-1.5189956451870832,-1.7597276948682279,-1.8658897590666972,-1.9174580646633235,-1.9444327337769138,-1.959088741719254,-1.9673921414799378,-1.9723715505244976,-1.9755581574300514,-1.9777304964061782,-1.979294438678154,-1.9804705356414587,-1.981385069712669,-1.9821145515071439,-1.9827079388885038,-1.9831981189991579,-1.9836081071384446,-1.9839545613313687,-1.9842498759366904,-1.98450348721993,-1.9847227204926212,-1.9849133582904765,-1.9850800319910107,-1.985226497972706,-1.9853558362486667,-1.9854705959159107,-1.9855729034547707,-1.9856645446646664,-1.9857470276129316,-1.9858216317119979
7,-1.5264711582977382,-1.7924102929791796,-1.9028083081824694,-1.949146572535002,-1.9687826799413397,-1.9776097391396343,-1.9818771797166068,-1.9841288235966246,-1.9854486161510025,-1.9863153570123218,-1.9869472937938533,-1.9874474300841738,-1.9878666065531023,-1.9882314553059857,-1.9885570113683353,-1.988852512179521,-1.9891241282532315,-1.9893762896996647,-1.9896123581768568,-1.9898349862707991,-1.9900463228020016,-1.990248138967666,-1.9904419116272674,-1.9906288819108064,-1.9908100986340918,-1.990986451721081,-1.991158698652963,-1.991327485806511,-1.9914933659023741,-1.9916568124072307,-1.9918182315016493
8,-1.1389795636177025,-1.6589292704109606,-1.8530738106072773,-1.9268127225462093,-1.9558316574335823,-1.9692973714949105,-1.9764868979549508,-1.9806342886202926,-1.9831348401023907,-1.9846966609838776,-1.9857097503908059,-1.9863968477351335,-1.9868874526587874,-1.9872577269118252,-1.9875529219789017,-1.9878002281246372,-1.9880162097379521,-1.9882111351253413,-1.9883915101942107,-1.988561567996592,-1.9887241490127194,-1.9888812247851593,-1.9890342120864841,-1.989184163576035,-1.9893318852554547,-1.9894780102385536,-1.9896230462045044,-1.9897674067962032,-1.9899114330611898,-1.9900554085856617,-1.99019957053009
9,-1.3924772171282127,-1.7717535622382292,-1.8886949079559838,-1.9363862722927394,-1.958425889630871,-1.9692870995431342,-1.9750703064981157,-1.9784389713420394,-1.9805723056486837,-1.982019002159387,-1.9830531760440542,-1.983822281350965,-1.9844112269036938,-1.9848719827711592,-1.9852381580464953,-1.9855325873704985,-1.9857714654202403,-1.9859666942979934,-1.9861272709300772,-1.9862601422505075,-1.9863707560353179,-1.9864634317001542,-1.9865416204584492,-1.9866080945844655,-1.9866650892433357,-1.986714411245195,-1.9867575238696,-1.9867956138411833,-1.9868296446696845,-1.9868603993850482,-1.9868885149173572
